title,year,watched_year,score
Cosmos,1980,2013,5
Cosmos: A Spacetime Odyssey,2014,2015,5
Jiro Dreams of Sushi,2011,2016,5
Particle Fever,2013,2016,4
Making a Murderer,2015,2022,4
Wild Wild Country,2018,2022,4
Amy,2015,2022,4
Winter on Fire: Ukraine's Fight for Freedom,2015,2022,4
My Octopus Teacher,2022,2022,5
Retratos Fantasmas,2023,2024,4
Chico: Artista Brasileiro,2015,2024,3
American Factory,2019,2024,5
Racionais MC's: From the Streets of Sao Paulo,2022,2024,4
David Attenborough: A Life on Our Planet,2020,2024,4
Unknown: The Lost Pyramid,2023,2024,3
Schumacher,2021,2024,3
Node.js: The Documentary | An origin story,2024,2024,4
Secrets of the Neanderthals,2024,2025,3
Period. End of Sentence.,2018,2025,4
Three Identical Strangers,2018,2025,4
Santo Forte,1999,2025,4
Edifício Master,2002,2025,4